partner_id,partner_name,partner_type,industry_vertical,partner_size,partner_status,country,state,city,region,integration_type,sales_channel,risk_tier,kyc_status,pci_level,onboarding_date,relationship_manager_region,synthetic_record_flag,industry,status
P000001,NorthStar Commerce 0001,Technology Platform,Travel,SMB,Suspended,US,NY,New York,Northeast,API,Direct,High,Approved,Level 3,2019-06-15,Northeast,1,Travel,Suspended
P000002,Ironwood Market 0002,ISV,SaaS,Mid-Market,Pilot,US,VA,Norfolk,South,SDK,Direct,Low,Approved,Level 4,2020-02-13,South,1,SaaS,Pilot
P000003,Evergreen Commerce 0003,Technology Platform,Professional Services,SMB,Active,US,CO,Colorado Springs,West,API,Direct,Low,Approved,Level 3,2023-03-12,West,1,Professional Services,Active
P000004,Summit Platform 0004,ISO/Reseller,Gaming,SMB,Active,US,GA,Augusta,South,API,Referral,Medium,Approved,Level 4,2020-02-13,South,1,Gaming,Active
P000005,Prairie PayTech 0005,Merchant Acquirer,Healthcare,SMB,Active,US,CA,San Diego,West,API,Direct,High,Approved,Level 4,2022-03-09,West,1,Healthcare,Active
P000006,Brightpath PayWorks 0006,ISV,Professional Services,Enterprise,Pilot,US,CA,Sacramento,West,API,Direct,Low,Approved,Level 2,2020-07-12,West,1,Professional Services,Pilot
P000007,Clearwater Solutions 0007,Technology Platform,Retail,Enterprise,Active,US,AZ,Scottsdale,West,API,Direct,Low,Approved,Level 1,2022-07-15,West,1,Retail,Active
P000008,Granite Checkout 0008,Technology Platform,Healthcare,Mid-Market,Active,US,NJ,Newark,Northeast,API,Alliance,Medium,Approved,Level 1,2017-02-17,Northeast,1,Healthcare,Active
P000009,Copper Billing 0009,Financial Institution,Professional Services,SMB,Active,US,GA,Augusta,South,SFTP,Referral,Low,Approved,Level 1,2019-01-02,South,1,Professional Services,Active
P000010,NorthStar Connect 0010,Financial Institution,Fintech,SMB,Dormant,US,CO,Colorado Springs,West,Direct Processor,Referral,Low,Approved,Level 1,2020-08-20,West,1,Fintech,Dormant
P000011,Maple Checkout 0011,Gateway,Hospitality,SMB,Dormant,US,AZ,Mesa,West,API,Partner-sourced,Low,Pending Review,Level 3,2017-10-11,West,1,Hospitality,Dormant
