exception_id,partner_id,requested_date,exception_type,exception_status,business_justification,expected_annual_revenue_usd,approved_by_role,review_due_date
E000001,P000020,2021-05-18,Discounted bps,Approved,Contract renewal concession,94666.4,Risk Review,2021-11-28
E000002,P000024,2025-03-30,Legacy plan extension,Pending,Migration incentive,27352.17,Product Director,2026-04-27
E000003,P000027,2022-05-18,Discounted bps,Rejected,Contract renewal concession,1616761.47,Pricing Governance,2023-05-26
E000004,P000041,2018-11-08,High-risk waiver,Pending,Risk-adjusted commercial exception,952912.68,None,2019-05-26
E000005,P000044,2020-02-21,Legacy plan extension,Approved,Competitive displacement,8139.57,Revenue Management,2020-08-26
E000006,P000046,2024-11-18,High-risk waiver,Approved,New partner acquisition,7698.34,Pricing Governance,2025-12-04
E000007,P000051,2018-07-02,High-risk waiver,Approved,New partner acquisition,57133.05,Revenue Management,2019-07-22
E000008,P000052,2025-04-28,Discounted bps,Expired,Migration incentive,21248.95,Pricing Governance,2025-11-02
E000009,P000061,2018-06-27,Volume threshold waiver,Expired,New partner acquisition,19128.6,Product Director,2019-07-16
E000010,P000062,2024-05-12,Volume threshold waiver,Approved,Strategic retention,10811.52,None,2024-12-06
E000011,P000064,2017-12-22,Waived monthly minimum,Expired,New partner acquisition,6491.42,Pricing Governance,2019-01-13
E000012,P000066,2024-08-04,Legacy plan extension,Approved,Risk-adjusted commercial exception,781833.22,Risk Review,2026-08-25
E000013,P000069,2021-03-09,Discounted bps,Expired,Competitive displacement,4803.9,Revenue Management,2022-03-28
E000014,P000073,2018-05-04,Volume threshold waiver,Expired,New partner acquisition,54308.27,Revenue Management,2019-06-03
E000015,P000088,2023-09-11,High-risk waiver,Approved,Competitive displacement,11002.49,Pricing Governance,2024-10-07
E000016,P000095,2023-09-12,Legacy plan extension,Expired,Contract renewal concession,950.29,Revenue Management,2024-09-28
E000017,P000096,2022-08-27,Waived monthly minimum,Expired,Contract renewal concession,7380.35,Product Director,2023-09-26
E000018,P000098,2024-04-13,Volume threshold waiver,Approved,Competitive displacement,198671.3,None,2025-05-18
E000019,P000100,2018-03-02,Legacy plan extension,Approved,New partner acquisition,101543.12,Revenue Management,2020-03-24
E000020,P000124,2024-11-30,Volume threshold waiver,Rejected,Competitive displacement,380.23,Product Director,2025-06-20
E000021,P000126,2024-04-15,Waived monthly minimum,Rejected,Contract renewal concession,57836.25,Product Director,2024-11-12
E000022,P000130,2021-10-25,Waived monthly minimum,Approved,Contract renewal concession,10972.12,Pricing Governance,2022-11-05
E000023,P000146,2023-11-20,Legacy plan extension,Expired,Risk-adjusted commercial exception,13499.27,Pricing Governance,2025-12-21
