partner_id,partner_name,partner_type,industry_vertical,partner_size,partner_status,country,state,city,region,integration_type,sales_channel,risk_tier,kyc_status,pci_level,onboarding_date,relationship_manager_region,synthetic_record_flag
P000001,NorthStar Commerce 0001,Technology Platform,Travel,SMB,Suspended,US,NY,New York,Northeast,API,Direct,High,Approved,Level 3,2019-06-15,Northeast,1
P000002,Ironwood Market 0002,ISV,SaaS,Mid-Market,Pilot,US,VA,Norfolk,South,SDK,Direct,Low,Approved,Level 4,2020-02-13,South,1
P000003,Evergreen Commerce 0003,Technology Platform,Professional Services,SMB,Active,US,CO,Colorado Springs,West,API,Direct,Low,Approved,Level 3,2023-03-12,West,1
P000004,Summit Platform 0004,ISO/Reseller,Gaming,SMB,Active,US,GA,Augusta,South,API,Referral,Medium,Approved,Level 4,2020-02-13,South,1
P000005,Prairie PayTech 0005,Merchant Acquirer,Healthcare,SMB,Active,US,CA,San Diego,West,API,Direct,High,Approved,Level 4,2022-03-09,West,1
P000006,Brightpath PayWorks 0006,ISV,Professional Services,Enterprise,Pilot,US,CA,Sacramento,West,API,Direct,Low,Approved,Level 2,2020-07-12,West,1
P000007,Clearwater Solutions 0007,Technology Platform,Retail,Enterprise,Active,US,AZ,Scottsdale,West,API,Direct,Low,Approved,Level 1,2022-07-15,West,1
P000008,Granite Checkout 0008,Technology Platform,Healthcare,Mid-Market,Active,US,NJ,Newark,Northeast,API,Alliance,Medium,Approved,Level 1,2017-02-17,Northeast,1
P000009,Copper Billing 0009,Financial Institution,Professional Services,SMB,Active,US,GA,Augusta,South,SFTP,Referral,Low,Approved,Level 1,2019-01-02,South,1
P000010,NorthStar Connect 0010,Financial Institution,Fintech,SMB,Dormant,US,CO,Colorado Springs,West,Direct Processor,Referral,Low,Approved,Level 1,2020-08-20,West,1
P000011,Maple Checkout 0011,Gateway,Hospitality,SMB,Dormant,US,AZ,Mesa,West,API,Partner-sourced,Low,Pending Review,Level 3,2017-10-11,West,1
P000012,Harbor PayWorks 0012,Technology Platform,Education,Mid-Market,Active,US,MI,Detroit,Midwest,Hosted Checkout,Direct,Low,Pending Review,Level 3,2020-06-30,Midwest,1
P000013,Prairie Payments 0013,Merchant Acquirer,Fintech,SMB,Active,US,MA,Worcester,Northeast,API,Alliance,Low,Approved,Level 1,2017-10-18,Northeast,1
P000014,Brightpath Connect 0014,Gateway,Logistics,SMB,Active,US,CA,Los Angeles,West,API,Direct,Low,Approved,Level 2,2022-04-21,West,1
P000015,Summit Payments 0015,ISV,Retail,Mid-Market,Active,US,CA,San Francisco,West,Direct Processor,Alliance,Low,Approved,Level 4,2021-07-08,West,1
P000016,Granite Commerce 0016,ISV,Healthcare,Mid-Market,Active,US,CA,Los Angeles,West,API,Alliance,Low,Approved,Level 3,2017-07-27,West,1
P000017,BluePeak PayTech 0017,Bank Sponsor,Logistics,Enterprise,Active,US,TX,Austin,South,Hosted Checkout,Direct,Low,Approved,Level 2,2021-04-02,South,1
P000018,BluePeak Connect 0018,ISV,SaaS,Enterprise,Active,US,IL,Peoria,Midwest,API,Referral,Medium,Approved,Level 3,2025-04-02,Midwest,1
P000019,Cedar Merchant Services 0019,Technology Platform,Education,Enterprise,Active,US,NY,New York,Northeast,API,Direct,Low,Approved,Level 4,2019-08-22,Northeast,1
P000020,Oakstone Gateway 0020,ISV,SaaS,Mid-Market,Active,US,TX,Plano,South,API,Direct,Low,Approved,Level 3,2019-12-24,South,1
P000021,Granite Gateway 0021,Merchant Acquirer,Logistics,Strategic,Active,US,NC,Durham,South,API,Direct,Low,Approved,Level 4,2022-09-04,South,1
P000022,Copper Payments 0022,Gateway,Professional Services,SMB,Active,US,CA,Los Angeles,West,Direct Processor,Alliance,Medium,Approved,Level 2,2024-06-28,West,1
P000023,Oakstone Gateway 0023,Gateway,Retail,SMB,Active,US,TX,Austin,South,Batch File,Referral,Low,Approved,Level 2,2024-09-16,South,1
P000024,RedRock PayTech 0024,ISV,Logistics,SMB,Active,US,NY,Rochester,Northeast,API,Direct,Medium,Approved,Level 3,2025-04-25,Northeast,1
P000025,Clearwater Payments 0025,Technology Platform,Retail,Enterprise,Pilot,US,FL,Fort Lauderdale,South,API,Direct,Medium,Approved,Level 4,2020-06-16,South,1
P000026,Keystone PayWorks 0026,Gateway,Healthcare,SMB,Suspended,US,PA,Philadelphia,Northeast,Hosted Checkout,Partner-sourced,Low,Approved,Level 2,2018-09-26,Northeast,1
P000027,Prairie Financial 0027,Bank Sponsor,Hospitality,Enterprise,Active,US,CA,San Diego,West,Direct Processor,Alliance,Low,Approved,Level 1,2018-10-15,West,1
P000028,NorthStar Merchant Services 0028,Financial Institution,Healthcare,Enterprise,Active,US,FL,Miami,South,API,Direct,Low,Approved,Level 2,2019-03-03,South,1
P000029,Summit Financial 0029,Bank Sponsor,Travel,Mid-Market,Active,US,GA,Atlanta,South,Direct Processor,Referral,Medium,Rejected,Level 4,2019-01-02,South,1
P000030,RedRock Payments 0030,Technology Platform,Education,Enterprise,Active,US,AZ,Phoenix,West,Hosted Checkout,Direct,Low,Approved,Level 3,2024-12-13,West,1
P000031,Riverbend Solutions 0031,Merchant Acquirer,Retail,Mid-Market,Pilot,US,GA,Savannah,South,SFTP,Alliance,Low,Approved,Level 2,2020-06-20,South,1
P000032,Evergreen Solutions 0032,ISO/Reseller,Healthcare,Mid-Market,Active,US,CA,San Jose,West,Batch File,Direct,Low,Approved,Level 1,2017-01-02,West,1
P000033,Silverline Merchant Services 0033,ISO/Reseller,Professional Services,Mid-Market,Active,US,AZ,Tempe,West,Direct Processor,Direct,Medium,Approved,Level 3,2017-12-14,West,1
P000034,Prairie Processing 0034,Merchant Acquirer,Hospitality,Enterprise,Active,US,VA,Norfolk,South,API,Alliance,Medium,Approved,Level 1,2023-11-09,South,1
P000035,Summit Billing 0035,Gateway,Fintech,Mid-Market,Active,US,MI,Grand Rapids,Midwest,SFTP,Direct,Low,Approved,Level 4,2021-10-08,Midwest,1
P000036,Sunrise Connect 0036,Technology Platform,Travel,Enterprise,Active,US,PA,Allentown,Northeast,Hosted Checkout,Alliance,Medium,Approved,Level 2,2025-01-25,Northeast,1
P000037,Copper Processing 0037,Merchant Acquirer,Healthcare,Enterprise,Pilot,US,TX,Plano,South,API,Direct,Low,Approved,Level 2,2024-01-12,South,1
P000038,Ironwood Platform 0038,ISV,Professional Services,Enterprise,Active,US,CA,San Jose,West,API,Referral,Low,Approved,Level 2,2020-09-17,West,1
P000039,Maple Payments 0039,Financial Institution,Nonprofit,Enterprise,Suspended,US,WA,Bellevue,West,Batch File,Direct,High,Approved,Level 2,2020-12-11,West,1
P000040,Evergreen Market 0040,ISO/Reseller,Gaming,Enterprise,Active,US,FL,Jacksonville,South,Hosted Checkout,Alliance,High,Approved,Level 2,2024-07-02,South,1
P000041,Cedar Merchant Services 0041,Financial Institution,Logistics,Strategic,Active,US,CA,San Diego,West,Batch File,Direct,Low,Pending Review,Level 2,2021-10-22,West,1
P000042,Cedar Processing 0042,ISV,Professional Services,Mid-Market,Active,US,FL,Miami,South,API,Alliance,Low,Pending Review,Level 1,2017-03-21,South,1
P000043,Prairie PayTech 0043,ISV,Retail,Strategic,Active,US,AZ,Mesa,West,Batch File,Alliance,Low,Approved,Level 3,2022-04-24,West,1
P000044,Silverline Financial 0044,ISO/Reseller,Travel,SMB,Active,US,UT,Salt Lake City,West,SDK,Referral,High,Rejected,Level 4,2018-03-19,West,1
P000045,Summit PayWorks 0045,Marketplace,Utilities,SMB,Active,US,TX,Plano,South,Batch File,Alliance,Medium,Approved,Level 3,2020-05-20,South,1
P000046,NorthStar Checkout 0046,Financial Institution,Fintech,SMB,Active,US,WA,Seattle,West,Batch File,Alliance,Low,Approved,Level 1,2021-09-17,West,1
P000047,Granite Billing 0047,ISO/Reseller,Hospitality,Mid-Market,Dormant,US,TX,Houston,South,API,Referral,Low,Approved,Level 4,2022-06-04,South,1
P000048,Evergreen Market 0048,Merchant Acquirer,Travel,Strategic,Active,US,IL,Springfield,Midwest,Batch File,Referral,Medium,Approved,Level 2,2017-04-28,Midwest,1
P000049,Cedar Gateway 0049,ISV,Hospitality,SMB,Active,US,IL,Peoria,Midwest,SDK,Direct,Medium,Approved,Level 3,2025-01-28,Midwest,1
P000050,Riverbend Merchant Services 0050,Marketplace,SaaS,Mid-Market,Active,US,CA,San Diego,West,SFTP,Direct,Medium,Approved,Level 3,2023-07-11,West,1
P000051,Harbor Market 0051,Merchant Acquirer,Government,SMB,Active,US,MI,Grand Rapids,Midwest,API,Alliance,Medium,Approved,Level 4,2018-05-05,Midwest,1
P000052,Riverbend Gateway 0052,ISV,Gaming,SMB,Active,US,OH,Cleveland,Midwest,SDK,Direct,High,Pending Review,Level 1,2021-01-18,Midwest,1
P000053,NorthStar Connect 0053,Technology Platform,Retail,SMB,Active,US,TN,Knoxville,South,API,Referral,Low,Expired,Level 2,2020-03-10,South,1
P000054,BluePeak PayTech 0054,Bank Sponsor,Travel,Enterprise,Active,US,NV,Las Vegas,West,Batch File,Alliance,Low,Approved,Level 4,2018-09-04,West,1
P000055,Sunrise Processing 0055,Bank Sponsor,Retail,Enterprise,Active,US,GA,Atlanta,South,Hosted Checkout,Alliance,Medium,Approved,Level 4,2020-05-02,South,1
P000056,Cedar PayTech 0056,ISO/Reseller,Retail,Strategic,Active,US,UT,Provo,West,API,Direct,Low,Approved,Level 1,2019-09-10,West,1
P000057,Cedar Merchant Services 0057,Merchant Acquirer,SaaS,Mid-Market,Active,US,CA,Los Angeles,West,SDK,Partner-sourced,Low,Approved,Level 3,2019-08-15,West,1
P000058,Cedar Payments 0058,Marketplace,Utilities,Mid-Market,Suspended,US,CA,Sacramento,West,SDK,Alliance,Low,Approved,Level 3,2018-11-11,West,1
P000059,Sunrise Commerce 0059,Gateway,Education,Mid-Market,Active,US,AZ,Tempe,West,Hosted Checkout,Direct,Low,Approved,Level 2,2023-09-16,West,1
P000060,RedRock Connect 0060,ISO/Reseller,Retail,SMB,Active,US,TX,Houston,South,API,Alliance,Medium,Pending Review,Level 1,2017-06-14,South,1
P000061,Skyline Platform 0061,Marketplace,Logistics,SMB,Active,US,NY,Syracuse,Northeast,API,Direct,Medium,Approved,Level 1,2020-09-27,Northeast,1
P000062,Oakstone Financial 0062,Merchant Acquirer,SaaS,SMB,Active,US,TX,Dallas,South,Hosted Checkout,Direct,High,Pending Review,Level 3,2020-08-17,South,1
P000063,BluePeak Gateway 0063,Marketplace,Fintech,Mid-Market,Active,US,MA,Boston,Northeast,Batch File,Referral,Low,Approved,Level 4,2019-12-30,Northeast,1
P000064,NorthStar Solutions 0064,Gateway,Fintech,SMB,Active,US,NY,Rochester,Northeast,API,Direct,Medium,Approved,Level 4,2021-07-30,Northeast,1
P000065,Maple Processing 0065,ISO/Reseller,Retail,Enterprise,Active,US,TX,Austin,South,API,Referral,Low,Approved,Level 1,2019-09-26,South,1
P000066,Copper Financial 0066,Gateway,Fintech,Enterprise,Active,US,IL,Naperville,Midwest,Hosted Checkout,Direct,Medium,Approved,Level 2,2017-01-11,Midwest,1
P000067,Evergreen Processing 0067,ISO/Reseller,SaaS,Enterprise,Active,US,CA,Sacramento,West,SDK,Alliance,Low,Approved,Level 4,2020-08-11,West,1
P000068,Evergreen Merchant Services 0068,ISO/Reseller,Travel,Enterprise,Active,US,PA,Pittsburgh,Northeast,SDK,Partner-sourced,Low,Approved,Level 2,2024-04-24,Northeast,1
P000069,Clearwater Platform 0069,Technology Platform,Utilities,SMB,Active,US,CA,Los Angeles,West,API,Partner-sourced,Low,Pending Review,Level 1,2024-05-05,West,1
P000070,Oakstone Merchant Services 0070,Merchant Acquirer,SaaS,Mid-Market,Pilot,US,MN,Saint Paul,Midwest,Hosted Checkout,Alliance,Medium,Pending Review,Level 2,2025-01-22,Midwest,1
P000071,Summit Processing 0071,ISO/Reseller,Travel,Mid-Market,Active,US,OH,Columbus,Midwest,Direct Processor,Alliance,Medium,Approved,Level 4,2018-11-13,Midwest,1
P000072,Silverline PayTech 0072,Merchant Acquirer,Retail,SMB,Active,US,CA,Los Angeles,West,SFTP,Direct,Low,Approved,Level 4,2018-12-19,West,1
P000073,Sunrise Financial 0073,Marketplace,Fintech,Mid-Market,Active,US,AZ,Tempe,West,Batch File,Referral,Low,Approved,Level 1,2024-08-07,West,1
P000074,Maple Commerce 0074,Bank Sponsor,Travel,Strategic,Active,US,PA,Harrisburg,Northeast,Direct Processor,Direct,High,Approved,Level 2,2019-08-30,Northeast,1
P000075,BluePeak Connect 0075,Bank Sponsor,Travel,Strategic,Active,US,CO,Colorado Springs,West,SFTP,Referral,High,Approved,Level 4,2025-05-11,West,1
P000076,Clearwater Merchant Services 0076,Financial Institution,Travel,Enterprise,Active,US,CO,Colorado Springs,West,SDK,Partner-sourced,Medium,Approved,Level 3,2018-02-02,West,1
P000077,Harbor PayTech 0077,Financial Institution,Retail,SMB,Active,US,OH,Cincinnati,Midwest,Hosted Checkout,Alliance,Low,Pending Review,Level 2,2023-01-19,Midwest,1
P000078,Oakstone Billing 0078,Gateway,Hospitality,SMB,Pilot,US,CA,Sacramento,West,SFTP,Referral,Medium,Approved,Level 1,2018-04-17,West,1
P000079,NorthStar Financial 0079,Gateway,Gaming,Strategic,Active,US,NY,Buffalo,Northeast,SDK,Direct,High,Pending Review,Level 2,2023-01-07,Northeast,1
P000080,Granite Market 0080,ISO/Reseller,Hospitality,Strategic,Active,US,CA,San Jose,West,SDK,Direct,Low,Approved,Level 1,2023-11-04,West,1
P000081,Summit Gateway 0081,Gateway,Professional Services,Mid-Market,Active,US,NJ,Trenton,Northeast,Hosted Checkout,Direct,Low,Expired,Level 2,2023-01-11,Northeast,1
P000082,RedRock Payments 0082,ISO/Reseller,Gaming,Enterprise,Active,US,NC,Greensboro,South,Direct Processor,Direct,High,Expired,Level 2,2024-09-28,South,1
P000083,Harbor Commerce 0083,Financial Institution,Retail,Mid-Market,Active,US,TX,Dallas,South,Hosted Checkout,Direct,Low,Expired,Level 1,2022-02-06,South,1
P000084,Granite Gateway 0084,Bank Sponsor,Retail,SMB,Active,US,AZ,Tempe,West,SDK,Direct,High,Pending Review,Level 4,2023-07-30,West,1
P000085,Silverline Commerce 0085,Financial Institution,Hospitality,Mid-Market,Terminated,US,TX,Houston,South,Hosted Checkout,Alliance,Low,Rejected,Level 1,2024-05-31,South,1
P000086,Cedar Processing 0086,Financial Institution,Travel,SMB,Active,US,TX,Houston,South,Hosted Checkout,Alliance,Low,Approved,Level 3,2022-01-11,South,1
P000087,NorthStar Payments 0087,Merchant Acquirer,Healthcare,Mid-Market,Active,US,CO,Denver,West,API,Alliance,Medium,Pending Review,Level 2,2022-05-16,West,1
P000088,Brightpath Solutions 0088,ISO/Reseller,Logistics,SMB,Active,US,NC,Charlotte,South,API,Direct,Low,Approved,Level 4,2024-12-26,South,1
P000089,Harbor Platform 0089,ISV,Fintech,Mid-Market,Active,US,NV,Henderson,West,Hosted Checkout,Alliance,Medium,Approved,Level 2,2022-01-24,West,1
P000090,Maple Commerce 0090,Merchant Acquirer,Gaming,SMB,Dormant,US,FL,Jacksonville,South,SFTP,Alliance,Medium,Approved,Level 1,2018-01-09,South,1
P000091,Ironwood Market 0091,Financial Institution,Professional Services,SMB,Active,US,CA,Los Angeles,West,SFTP,Partner-sourced,Low,Expired,Level 2,2024-06-18,West,1
P000092,Summit Market 0092,Bank Sponsor,SaaS,SMB,Active,US,CO,Denver,West,API,Direct,Low,Approved,Level 3,2023-03-29,West,1
P000093,RedRock Payments 0093,Financial Institution,Hospitality,Strategic,Active,US,OH,Cleveland,Midwest,API,Direct,Medium,Approved,Level 3,2019-01-09,Midwest,1
P000094,Cedar PayWorks 0094,Merchant Acquirer,Healthcare,SMB,Active,US,IL,Springfield,Midwest,Direct Processor,Direct,Medium,Approved,Level 2,2022-12-13,Midwest,1
P000095,BluePeak Merchant Services 0095,Technology Platform,Professional Services,SMB,Suspended,US,OH,Cincinnati,Midwest,SDK,Direct,High,Approved,Level 3,2017-12-01,Midwest,1
P000096,Brightpath Processing 0096,ISO/Reseller,Nonprofit,SMB,Active,US,FL,Jacksonville,South,SFTP,Alliance,Low,Approved,Level 1,2022-11-29,South,1
P000097,Summit Payments 0097,Bank Sponsor,Retail,SMB,Active,US,IL,Peoria,Midwest,API,Alliance,High,Pending Review,Level 1,2022-07-31,Midwest,1
P000098,Ironwood Payments 0098,ISO/Reseller,Travel,Mid-Market,Active,US,NY,Rochester,Northeast,SFTP,Partner-sourced,High,Approved,Level 4,2022-02-27,Northeast,1
P000099,Keystone Processing 0099,Merchant Acquirer,Nonprofit,Mid-Market,Dormant,US,AZ,Tempe,West,API,Partner-sourced,Low,Approved,Level 1,2024-09-25,West,1
P000100,Copper Merchant Services 0100,ISV,SaaS,Mid-Market,Active,US,CA,Los Angeles,West,API,Referral,Low,Approved,Level 1,2018-04-13,West,1
P000101,Clearwater Billing 0101,Merchant Acquirer,Utilities,Mid-Market,Active,US,AZ,Mesa,West,API,Direct,Low,Approved,Level 4,2024-05-08,West,1
P000102,Oakstone Checkout 0102,ISO/Reseller,Fintech,Mid-Market,Active,US,NC,Greensboro,South,Direct Processor,Direct,Medium,Pending Review,Level 2,2024-01-14,South,1
P000103,BluePeak Market 0103,Merchant Acquirer,Professional Services,SMB,Active,US,TX,San Antonio,South,Hosted Checkout,Direct,Low,Approved,Level 4,2020-03-21,South,1
P000104,Brightpath Merchant Services 0104,ISO/Reseller,Fintech,Mid-Market,Suspended,US,FL,Miami,South,Hosted Checkout,Direct,Low,Approved,Level 2,2019-02-11,South,1
