partner_id,partner_name,partner_type,industry_vertical,partner_size,partner_status,country,state,city,region,integration_type,sales_channel,risk_tier,kyc_status,pci_level,onboarding_date,relationship_manager_region,synthetic_record_flag,assignment_id,pricing_plan_id,recommended_pricing_plan_id,effective_date,expiration_date,review_due_date,negotiated_bps,negotiated_per_txn_fee_usd,monthly_minimum_fee_usd,exception_flag,exception_type,approval_status,approved_by_role,month,txn_count,payment_volume_usd,avg_ticket_usd,txn_growth_pct,volume_growth_pct,chargeback_rate,auth_approval_rate,active_merchants,refunds_usd,net_revenue_usd,gross_margin_usd,gross_margin_rate,as_of_month,partner_segment,segment_reason
P000001,NorthStar Commerce 0001,Technology Platform,Travel,SMB,Suspended,US,NY,New York,Northeast,API,Direct,High,Approved,Level 3,2019-06-15,Northeast,1,A000001,HIGH_RISK,HIGH_RISK,2023-04-12,,2025-04-11,106.63,0.102,2999.0,0,None,Not Required,None,2025-12-01,126,13089.63,103.11,18.87,13.9,0.0171,0.85482,6,202.09,3151.43,757.29,0.2403,2025-12-01,Inactive / Monitor,Status=Suspended; risk=High; volume=13090; txn_growth=18.87; assigned_plan=HIGH_RISK; recommended_plan=HIGH_RISK
P000002,Ironwood Market 0002,ISV,SaaS,Mid-Market,Pilot,US,VA,Norfolk,South,SDK,Direct,Low,Approved,Level 4,2020-02-13,South,1,A000002,PLATFORM_ISV,PLATFORM_ISV,2023-02-07,,2025-02-06,56.36,0.0497,999.0,0,None,Not Required,None,2025-12-01,10421,1311964.99,125.88,39.6,25.05,0.00311,0.89697,11,23994.98,8911.16,5082.03,0.5703,2025-12-01,Inactive / Monitor,Status=Pilot; risk=Low; volume=1311965; txn_growth=39.6; assigned_plan=PLATFORM_ISV; recommended_plan=PLATFORM_ISV
P000003,Evergreen Commerce 0003,Technology Platform,Professional Services,SMB,Active,US,CO,Colorado Springs,West,API,Direct,Low,Approved,Level 3,2023-03-12,West,1,A000003,PLATFORM_ISV,PLATFORM_ISV,2024-01-05,,2026-01-04,52.29,0.0459,999.0,0,None,Not Required,None,2025-12-01,2699,389359.0,144.22,10.12,6.94,0.00284,0.95986,1,2567.35,3158.84,1965.43,0.6222,2025-12-01,Core Partner,Status=Active; risk=Low; volume=389359; txn_growth=10.12; assigned_plan=PLATFORM_ISV; recommended_plan=PLATFORM_ISV
P000004,Summit Platform 0004,ISO/Reseller,Gaming,SMB,Active,US,GA,Augusta,South,API,Referral,Medium,Approved,Level 4,2020-02-13,South,1,A000004,HIGH_RISK,HIGH_RISK,2025-02-07,,2027-02-07,115.74,0.1047,2999.0,0,None,Not Required,None,2025-12-01,14288,196023.69,13.72,0.32,7.07,0.01038,0.91423,18,4666.49,6763.73,3143.78,0.4648,2025-12-01,Core Partner,Status=Active; risk=Medium; volume=196024; txn_growth=0.32; assigned_plan=HIGH_RISK; recommended_plan=HIGH_RISK
P000005,Prairie PayTech 0005,Merchant Acquirer,Healthcare,SMB,Active,US,CA,San Diego,West,API,Direct,High,Approved,Level 4,2022-03-09,West,1,A000005,HIGH_RISK,HIGH_RISK,2025-08-27,,2027-08-27,106.91,0.0945,2999.0,0,None,Not Required,None,2025-12-01,726,61250.87,84.3,1.54,-5.47,0.00692,0.88535,2,1262.87,3722.44,1139.44,0.3061,2025-12-01,Risk Review,Status=Active; risk=High; volume=61251; txn_growth=1.54; assigned_plan=HIGH_RISK; recommended_plan=HIGH_RISK
P000006,Brightpath PayWorks 0006,ISV,Professional Services,Enterprise,Pilot,US,CA,Sacramento,West,API,Direct,Low,Approved,Level 2,2020-07-12,West,1,A000006,PLATFORM_ISV,PLATFORM_ISV,2024-09-08,,2026-09-08,48.65,0.0511,999.0,0,None,Not Required,None,2025-12-01,22668,4880778.89,215.31,3.71,5.6,0.0052,0.92681,137,67577.41,25902.32,13388.91,0.5169,2025-12-01,Inactive / Monitor,Status=Pilot; risk=Low; volume=4880779; txn_growth=3.71; assigned_plan=PLATFORM_ISV; recommended_plan=PLATFORM_ISV
P000007,Clearwater Solutions 0007,Technology Platform,Retail,Enterprise,Active,US,AZ,Scottsdale,West,API,Direct,Low,Approved,Level 1,2022-07-15,West,1,A000007,PLATFORM_ISV,PLATFORM_ISV,2024-11-07,,2026-11-07,53.79,0.0472,999.0,0,None,Not Required,None,2025-12-01,464267,28581911.65,61.56,31.87,23.61,0.00326,0.9683,9,658799.34,176654.51,113924.49,0.6449,2025-12-01,Strategic Growth,Status=Active; risk=Low; volume=28581912; txn_growth=31.87; assigned_plan=PLATFORM_ISV; recommended_plan=PLATFORM_ISV
P000008,Granite Checkout 0008,Technology Platform,Healthcare,Mid-Market,Active,US,NJ,Newark,Northeast,API,Alliance,Medium,Approved,Level 1,2017-02-17,Northeast,1,A000008,PLATFORM_ISV,PLATFORM_ISV,2024-10-07,,2026-10-07,53.56,0.0472,999.0,0,None,Not Required,None,2025-12-01,12529,1231671.62,98.3,-14.37,-10.84,0.0093,0.89733,6,22234.87,8187.2,3407.51,0.4162,2025-12-01,Core Partner,Status=Active; risk=Medium; volume=1231672; txn_growth=-14.37; assigned_plan=PLATFORM_ISV; recommended_plan=PLATFORM_ISV
P000009,Copper Billing 0009,Financial Institution,Professional Services,SMB,Active,US,GA,Augusta,South,SFTP,Referral,Low,Approved,Level 1,2019-01-02,South,1,A000009,LAUNCH,LAUNCH,2024-11-23,,2026-11-23,83.58,0.0798,99.0,0,None,Not Required,None,2025-12-01,1076,184699.59,171.65,17.85,12.82,0.00307,0.91531,2,2865.85,1728.58,683.31,0.3953,2025-12-01,Core Partner,Status=Active; risk=Low; volume=184700; txn_growth=17.85; assigned_plan=LAUNCH; recommended_plan=LAUNCH
P000010,NorthStar Connect 0010,Financial Institution,Fintech,SMB,Dormant,US,CO,Colorado Springs,West,Direct Processor,Referral,Low,Approved,Level 1,2020-08-20,West,1,A000010,LAUNCH,LAUNCH,2023-10-08,,2025-10-07,82.72,0.0782,99.0,0,None,Not Required,None,2025-12-01,130,10052.07,76.99,-10.96,-9.72,0.0001,0.94842,2,49.28,192.32,108.76,0.5655,2025-12-01,Inactive / Monitor,Status=Dormant; risk=Low; volume=10052; txn_growth=-10.96; assigned_plan=LAUNCH; recommended_plan=LAUNCH
P000011,Maple Checkout 0011,Gateway,Hospitality,SMB,Dormant,US,AZ,Mesa,West,API,Partner-sourced,Low,Pending Review,Level 3,2017-10-11,West,1,A000011,LAUNCH,LAUNCH,2018-08-17,,2020-08-16,85.77,0.079,99.0,0,None,Not Required,None,2025-12-01,150,14054.99,93.59,48.51,24.56,0.00183,0.93469,1,138.03,231.4,141.32,0.6107,2025-12-01,Inactive / Monitor,Status=Dormant; risk=Low; volume=14055; txn_growth=48.51; assigned_plan=LAUNCH; recommended_plan=LAUNCH
